,A,B
953,C3,C5AR2
954,CADM1,CADM1
955,CADM1,CADM3
956,CADM3,CADM4
957,CALCA,CALCR
958,GAST,CCKBR
959,CCL15,CCR1
960,CCL14,CCR1
961,CCL16,CCR1
962,CCL23,CCR1
963,CCL3,CCR1
964,CCL3L1,CCR1
965,CCL5,CCR1
966,CCL7,CCR1
967,CCL8,CCR1
968,CCL26,CCR1
969,CCL27,CCR10
970,CCL28,CCR10
971,DEFB103A,CCR2
972,DEFB103B,CCR2
973,DEFB4A,CCR2
974,DEFB4B,CCR2
975,CCL11,CCR2
976,CCL13,CCR2
977,CCL16,CCR2
978,CCL2,CCR2
979,CCL26,CCR2
980,CCL7,CCR2
981,CCL8,CCR2
982,DEFB106A,CCR2
983,DEFB106B,CCR2
984,CCL15,CCR3
985,CCL11,CCR3
986,CCL13,CCR3
987,CCL14,CCR3
988,CCL24,CCR3
989,CCL26,CCR3
990,CCL28,CCR3
991,CCL3L1,CCR3
992,CCL5,CCR3
993,CCL7,CCR3
994,CXCL10,CCR3
995,CXCL9,CCR3
996,CXCL11,CCR3
997,CCL18,CCR3
998,CCL8,CCR3
999,CCL22,CCR4
1000,CCL17,CCR4
1001,CCL5,CCR4
1002,CCL11,CCR5
1003,CCL14,CCR5
1004,CCL16,CCR5
1005,CCL3,CCR5
1006,CCL3L1,CCR5
1007,CCL4,CCR5
1008,CCL5,CCR5
1009,CCL8,CCR5
1010,CCL7,CCR5
1011,CCL26,CCR5
1012,CXCL11,CCR5
1013,DEFB103A,CCR6
1014,DEFB103B,CCR6
1015,CCL20,CCR6
1016,DEFB1,CCR6
1017,DEFB4A,CCR6
1018,DEFB4B,CCR6
1019,CCL19,CCR7
1020,CCL21,CCR7
1021,CCL1,CCR8
1022,CCL16,CCR8
1023,CCL18,CCR8
1024,CCL25,CCR9
1025,RARRES2,CCRL2
1026,CCL19,CCRL2
1027,HLA-C,CD160
1028,HLA-G,CD160
1029,PECAM1,CD177
1030,CEACAM5,CD1D
1031,CD59,CD2
1032,CD58,CD2
1033,CD48,CD2
1034,CD200,CD200R1
1035,CEACAM1,CD209
1036,PTPRC,CD22
1037,PVR,CD226
1038,NECTIN2,CD226
1039,CD48,CD244
1040,MMRN2,CD248
1041,CD70,CD27
